id	title	startTime	endTime	url	tags	address	name	latitude	longitude
1066	Run Tuesday	2022-11-15T18:00:00Z	2022-11-15T20:00:00Z	https://www.facebook.com/events/965078894895590/965078901562256?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22unknown%22%2C%22surface%22%3A%22page%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22permalink%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22edit_dialog%22%7D]%2C%22ref_notif_type%22%3Anull%7D	Sport	Tervuursevest 101, 3001 Heverlee	Gymnasium		
1067	Run Tuesday	2022-11-22T18:00:00Z	2022-11-22T19:00:00Z	https://www.facebook.com/events/965078894895590/965078901562256?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22unknown%22%2C%22surface%22%3A%22page%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22permalink%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22edit_dialog%22%7D]%2C%22ref_notif_type%22%3Anull%7D	Sport	Tervuursevest 101, 3001 Heverlee	Gymnasium		
1068	Run Tuesday	2022-11-29T18:00:00Z	2022-11-29T19:00:00Z	https://www.facebook.com/events/965078894895590/965078901562256?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22unknown%22%2C%22surface%22%3A%22page%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22permalink%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22edit_dialog%22%7D]%2C%22ref_notif_type%22%3Anull%7D	Sport	Tervuursevest 101, 3001 Heverlee	Gymnasium		
1069	Run Tuesday	2022-12-06T18:00:00Z	2022-12-06T19:00:00Z	https://www.facebook.com/events/965078894895590/965078901562256?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22unknown%22%2C%22surface%22%3A%22page%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22permalink%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22edit_dialog%22%7D]%2C%22ref_notif_type%22%3Anull%7D	Sport	Tervuursevest 101, 3001 Heverlee	Gymnasium		
1070	Run Tuesday	2022-12-13T18:00:00Z	2022-12-13T20:00:00Z	https://www.facebook.com/events/965078894895590/965078901562256?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22unknown%22%2C%22surface%22%3A%22page%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22permalink%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22edit_dialog%22%7D]%2C%22ref_notif_type%22%3Anull%7D	Sport	Tervuursevest 101, 3001 Heverlee	Gymnasium		
1071	Run Tuesday	2022-12-20T18:00:00Z	2022-12-20T20:00:00Z	https://www.facebook.com/events/965078894895590/965078901562256?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22unknown%22%2C%22surface%22%3A%22page%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22permalink%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22edit_dialog%22%7D]%2C%22ref_notif_type%22%3Anull%7D	Sport	Tervuursevest 101, 3001 Heverlee	Gymnasium		
1072	Internships at the EU	2022-11-24T19:00:00Z	2022-11-24T21:00:00Z	https://www.facebook.com/events/805452917379822?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	International, Career	Erasmusplein 2	MSI1 00.20		
1073	Historia | Tarantino Filmavond	2022-11-10T19:00:00Z	2022-11-10T21:00:00Z	https://www.facebook.com/events/1265908547476765	Culture	Blijde Inkomststraat 11	Historia Perma	50.87740765900555	4.70792894214171
1074	Praatcafé Go Global	2022-11-07T19:00:00Z	2022-11-07T21:00:00Z	https://fb.me/e/3euWWRDxb	Culture, International	Celestijnenlaan 200E 01.298, 3001 Leuven	Geogang (Gang met eland)		
1075	Food Festival @Campus Arenberg	2022-11-08T11:00:00Z	2022-11-08T13:30:00Z	https://fb.me/e/2noCABFhH	Culture, International, Culinary	Celestijnenlaan 200H, 3001 Leuven	Terras Quadrivium		
1076	GO Quiz	2022-11-09T18:30:00Z	2022-11-09T22:00:00Z	https://fb.me/e/24vxeJBF7	Culture, Quiz, International	Celestijnenlaan 200G 00.06, 3001 Leuven			
