,DayOfWeek,HourOfDay,AverageNoise,Std
0,0,0,48.65477941176471,4.322339769018611
1,0,1,45.111200980392155,5.655417469514825
2,0,2,42.80996732026144,5.3236606087060485
3,0,3,41.655522875817,4.854785079236499
4,0,4,41.75362745098039,4.330731805055615
5,0,5,43.75208333333333,3.0800270460122037
6,0,6,52.11973039215686,4.287219172713896
7,0,7,58.11483660130719,4.803285522025546
8,0,8,59.72299019607843,4.620842623755222
9,0,9,59.43773692810457,3.4422670988097255
10,0,10,60.00027777777778,3.051590421706664
11,0,11,59.714248366013074,2.599089505400036
12,0,12,59.080130718954244,2.343768637689149
13,0,13,59.42327614379085,2.200120151421672
14,0,14,59.15438725490196,2.3182354975056843
15,0,15,59.19354575163399,2.2122858565114223
16,0,16,58.51264705882353,1.8861084326220068
17,0,17,58.89393790849673,1.8365427141963069
18,0,18,59.454722222222216,1.9277496643803416
19,0,19,58.93993464052287,1.3999876571195722
20,0,20,58.0140114379085,1.694000715271036
21,0,21,56.71515522875817,1.5454863243957657
22,0,22,55.351928104575165,1.9278845450835782
23,0,23,53.08813725490196,2.7796766927719982
24,1,0,50.21830065359477,5.085937698860304
25,1,1,46.92032679738562,5.821784625387724
26,1,2,44.44320261437909,5.376571427583207
27,1,3,43.180392156862744,5.090669488695692
28,1,4,42.690555555555555,4.303327739044474
29,1,5,44.334730392156864,3.2357459789731906
30,1,6,52.3218954248366,4.0816401075372175
31,1,7,57.55955882352941,5.322134265663388
32,1,8,59.545686274509805,5.111512117829609
33,1,9,59.527508169934634,3.409177283950505
34,1,10,60.45450163398692,3.507301499114629
35,1,11,60.21559640522876,2.6800593137804367
36,1,12,59.38473039215687,2.1608932788695037
37,1,13,59.50669070512821,2.428255020153795
38,1,14,59.12845352564103,2.3668243157479756
39,1,15,59.217564102564104,1.9760689024821811
40,1,16,58.08219551282051,1.6226112241943331
41,1,17,58.74226762820513,1.2238048347314738
42,1,18,59.247235576923075,1.350423015376231
43,1,19,59.008277243589745,1.605788586797936
44,1,20,58.143846153846155,1.6616024237114675
45,1,21,56.70293269230769,1.9387865623717158
46,1,22,55.74878205128205,2.2461480248167756
47,1,23,53.53493589743589,3.461633695084957
48,2,0,51.56061666666667,4.905422732904071
49,2,1,48.806000000000004,5.486614519800792
50,2,2,46.041,5.312839120828856
51,2,3,44.59186666666667,4.875143228781466
52,2,4,43.82213333333333,4.270049400957945
53,2,5,45.185291666666664,3.095684775747762
54,2,6,52.20285833333333,4.36895684024836
55,2,7,57.38633333333333,4.7632116539968035
56,2,8,59.54176666666666,3.954628053266519
57,2,9,59.7082,3.0338860384548187
58,2,10,60.264833333333335,2.959147665059675
59,2,11,59.916333333333334,2.4480189130477434
60,2,12,59.55786666666667,2.0664113579408028
61,2,13,59.20105833333333,2.1724174714218445
62,2,14,59.06561666666666,2.236166169721167
63,2,15,58.783625,1.7434081637932828
64,2,16,58.253,1.3923402378256828
65,2,17,58.74455,1.4189190773516844
66,2,18,59.33185,1.4441382321509562
67,2,19,58.909625,1.3637589054197503
68,2,20,58.026158333333335,1.5520834949321947
69,2,21,56.83723333333333,1.6762543822368539
70,2,22,56.128600000000006,2.104046672270597
71,2,23,54.288491666666665,2.794785273122064
72,3,0,52.58981209150327,5.583727809642825
73,3,1,49.68248366013072,6.590342027648817
74,3,2,46.58238562091503,6.179764902530245
75,3,3,45.808169934640524,6.065754063729899
76,3,4,45.368039215686274,5.382482272313094
77,3,5,46.395089869281044,3.8088284172302727
78,3,6,53.49889705882353,3.859070785197313
79,3,7,58.81632352941177,4.16019265354673
80,3,8,60.67437908496732,3.7222373642263458
81,3,9,60.17069444444444,2.809641084811894
82,3,10,61.183488562091505,2.396723992361448
83,3,11,60.602222222222224,2.358713483298957
84,3,12,59.8840931372549,1.8707599479034536
85,3,13,60.20049836601307,2.4355143778796267
86,3,14,59.603169934640526,2.1063494026633434
87,3,15,59.36482026143791,2.3438822085006112
88,3,16,58.678823529411765,1.7866367937215832
89,3,17,59.037148692810455,1.4802750550820798
90,3,18,59.5965522875817,1.5022319207100556
91,3,19,59.45377450980392,1.3714796688344104
92,3,20,58.523325163398695,1.646525096162531
93,3,21,57.11071078431373,2.0083845053890745
94,3,22,56.40453431372549,2.280625152853226
95,3,23,54.72063725490196,3.293679062437606
96,4,0,53.17849358974359,5.6783718713105245
97,4,1,50.78258814102564,6.632830100328102
98,4,2,48.14600961538462,6.582959454793636
99,4,3,46.63621794871795,6.446008705088504
100,4,4,45.941506410256416,5.893309371158509
101,4,5,46.06777243589743,4.124894840777338
102,4,6,52.33423878205129,3.6227794225275285
103,4,7,57.01283653846154,5.058739464426273
104,4,8,59.346017628205125,4.79429472787477
105,4,9,59.50788461538461,3.656273283863588
106,4,10,60.054743589743595,3.2534249488971234
107,4,11,59.64836538461539,2.424557087112891
108,4,12,59.391209935897436,2.1288182875962285
109,4,13,59.35206730769231,2.6497267901892507
110,4,14,59.202532051282056,2.4622527079171586
111,4,15,59.14114583333333,2.557049815181337
112,4,16,59.044871794871796,2.1106257744355688
113,4,17,59.240088141025645,1.82228843112223
114,4,18,59.59704326923077,1.7675502231211282
115,4,19,59.139415064102565,1.7947809482961037
116,4,20,58.38178685897436,1.6955527066562746
117,4,21,57.141450320512824,1.7170225444352862
118,4,22,56.361105769230775,1.6620444133174361
119,4,23,54.56942307692308,2.646785876799811
120,5,0,53.18478758169935,3.4399682233397377
121,5,1,50.42455065359477,4.478459665011274
122,5,2,47.561764705882354,4.561156851450014
123,5,3,45.553594771241826,4.049719762218795
