id	title	startTime	endTime	url	tags	address	name	latitude	longitude	city
769	Eerstejaarsdrink 	2022-09-29 17:00:00+00:00	2022-09-29T20:00:00Z	https://fb.me/e/1SMwmh4SR	Party, First-year students	Sint-Michielsstraat 6 3000 Leuven	MTC 00.12	50.87694393225657	4.701792047915636	Leuven
781	White T-Shirt Party	2022-09-27 20:00:00+00:00	2022-09-28T02:00:00Z	https://fb.me/e/2cVRQg2SB	Party, First-year students	Brusselsestraat 246, Leuven	Doc's Bar			Leuven
787	Historia's First Tuesday	2022-09-27 18:00:00+00:00	2022-09-27T21:59:00Z	https://www.facebook.com/events/5582457975176851	Party	Blijde Inkomststraat 11	Fakbar Letteren	50.877363655935554	4.707869933543383	Leuven
788	[Uitgesteld] Ifese Lezing Austrofascisme	2022-10-10 18:00:00+00:00	2022-10-10T19:30:00Z	https://www.facebook.com/events/400827611995537	Lecture	Leuven	Leuven			Leuven
794	BR Launch	2022-10-04 16:30:00+00:00	2022-10-04T21:30:00Z	https://www.facebook.com/events/849326329388973	Career	Celestijnenlaan 200H, 3001 Leuven	Quadrivium	50.86301305447165	4.675120161471544	Leuven
795	International Picknick	2022-09-24 10:00:00+00:00	2022-09-24T12:00:00Z	https://fb.me/e/3vXWK9Qzc	International	Kardinaal Mercierlaan 94, 3001 Heverlee, Leuven	Arenbergkasteel	50.8628437593947	4.683692501483141	Leuven
803	Openingsavond	2022-09-25 20:00:00+00:00	2022-09-26T02:00:00Z	https://fb.me/e/2mnW0G7O4		Tervuursevest 60, Leuven	't Elixir	50.86973018700058	4.695676611361681	Leuven
805	Historia | Onthaal Kulak	2022-10-13 17:00:00+00:00	2022-10-13T20:00:00Z	https://www.facebook.com/events/5861989493813790	Party	Blijde Inkomststraat 11	Fakbar Letteren	50.87742119840343	4.7079503998138295	Leuven
807	Recruitment event: Join AIESEC in Leuven	2022-10-06 18:00:00+00:00	2022-10-06T20:00:00Z	https://bit.ly/joinaiesecleuven	Education, Culture, International	Edward Van Evenstraat 4 , 3000 Leuven	Hall Couvreur, AGORA Learning Center			Leuven
808	Entrepreneurship of Tomorrow - AFC - AFD - AFT	2022-10-10 17:00:00+00:00	2022-10-10T21:00:00Z	https://www.eventbrite.nl/e/entrepreneurship-of-tomorrow-info-event-by-afc-afd-aft-tickets-420143730207?fbclid=IwAR2ezNJ2lK4gtnoxY29iKzHnpCKA_dsam-3LVa_jTu9RpWoZ3zRKuFFKmY8	Education, International, Lecture, Career	Andreas Vesaliusstraat 11, 3000 Leuven	Aula Vesalius			Leuven
809	PeMe-namiddag LO&BW	2022-09-27 12:00:00+00:00	2022-09-27T15:00:00Z	https://www.facebook.com/events/1099226850734175?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D		Tervuursevest 101, Heverlee, Belgium 	Universitair Sportcentrum KULeuven			Leuven
810	OOV 1	2022-09-28 18:00:00+00:00	2022-09-28T20:00:00Z	https://www.facebook.com/events/603310628009549?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	Education	Tervuursevest 101, 3001 Heverlee	GBDN 02.05			Leuven
811	Boer(in) zkt beest 2.0 Openingscantus	2022-09-29 18:00:00+00:00	2022-09-29T23:00:00Z	https://www.facebook.com/events/626088109097699?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	Cantus	Van Evenstraat 2C Leuven, België	Alma 2			Leuven
812	Initation cantus	2022-10-03 17:00:00+00:00	2022-10-03T23:00:00Z	https://www.facebook.com/events/384836067190763/?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	Cantus	Tervuursevest 60 3000 Leuven, België	De Waaiberg			Leuven
814	Doop	2022-10-13 12:00:00+00:00	2022-10-13T18:00:00Z	https://www.facebook.com/events/384444457234512?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	First-year students	Tervuursevest 101, 3001 Heverlee	Rugbyvelden USC			Leuven
816	Historia | Grote Historia Infoavond	2022-10-04 16:00:00+00:00	2022-10-04T17:00:00Z	https://www.facebook.com/events/508235270642019	First-year students	Erasmusplein 2	MSI 00.18	50.87762428889822	4.707886026797472	Leuven
817	24-urenloop prep	2022-10-04 18:30:00+00:00	2022-10-04T19:30:00Z	https://www.facebook.com/events/655341732676411/?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22unknown%22%2C%22surface%22%3A%22page%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22page_upcoming_events_card%22%2C%22surface%22%3A%22page%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22create_dialog%22%7D]%2C%22ref_notif_type%22%3Anull%7D	Sport, International	Tervuursevest 101, 3001 Heverlee	Track & field course			Leuven
818	Blokhutavond	2022-09-27 18:30:00+00:00	2022-09-27T22:00:00Z	https://fb.me/e/30wNlWk8w	Party, First-year students	Oude markt	Blokhut			Leuven
835	PeMe-Kickoff	2022-10-03 18:00:00+00:00	2022-10-03T21:00:00Z	https://fb.me/e/1L40dB1m1		Studentenwijk Arenberg 6, 3001 Leuven, België				Leuven
838	Open repetitie koor Cantores	2022-10-10 17:25:00+00:00	2022-10-10T19:30:00Z	https://www.facebook.com/events/2023229847877716/2023429544524413/	Cantus, Culture	Erasmusplein 2, 3000 Leuven	Mgr Sencie Instituut, Aula 00.08	50.87759721021673	4.707810924945055	Leuven
839	Open repetitie koor Cantores	2022-10-17 17:25:00+00:00	2022-10-17T19:25:00Z	https://www.facebook.com/events/2023229847877716/2023429544524413/	Cantus, Culture	Erasmusplein 2, 3000 Leuven	Mgr Sencie Instituut, Aula 00.08	50.87759721021673	4.707810924945055	Leuven
840	Historia | Openingscantus	2022-10-05 18:00:00+00:00	2022-10-05T21:59:00Z	https://www.facebook.com/events/682342822794694	Cantus	Tiensestraat 51	Recup	50.87722826161349	4.704785393176256	Leuven
841	Get2Know BEST Leuven	2022-10-04 18:00:00+00:00	2022-10-04T20:00:00Z	https://www.facebook.com/events/831159787894613/?acontext=%7B%22source%22%3A%2229%22%2C%22ref_notif_type%22%3A%22event_calendar_create%22%2C%22action_history%22%3A%22null%22%7D&notif_id=1664300629328652&notif_t=event_calendar_create&ref=notif	Education, International	Kasteelpark Arenberg 41, 3001 Leuven	BEST Leuven Office	50.86109659829485	4.68320970386046	Leuven
